Site Name;Latitude;Longitude;Provinces;Territoire;Zone;Population;Population Range;Nearest Site;Distance;Distance Level;300 Sites planned
Part2_23453_NewSite_14_973_700008;-5.561318;23.898881;Sankuru;Lusambo;;581;0. <1K;KO_04_443_C0;27308,3;>5km;No
Part1_23453_NewSite_7_370_351550;-5.096163;17.415103;Kwango;Kenge;;201;0. <1K;CD2068;27308,3;>5km;No
Part1_23453_NewSite_14_800_700783;-3.334344;16.688571;Mai-Ndombe;Kwamouth;;669;0. <1K;UL_Kiri_BDD;27313,0;>5km;No
Part1_23453_NewSite_7_856_350004;-6.93387;17.981446;Kwango;Kasongo-Lunda;;309;0. <1K;UL_Tambu_Tseke_BDD;27313,0;>5km;No
Part1_23453_NewSite_14_715_700002;-2.770704;17.000407;Mai-Ndombe;Mushie;;5099;3. 5K~10K;CD1547;27316,5;>5km;No
Part2_23453_NewSite_18_255_900001;1.793178;22.807813;Tshopo;Yahuma;;2840;1. 1K~3K;UL_Bolama_POR;27319,4;>5km;No
Part2_23453_NewSite_12_584_600002;-0.726121;28.734231;Nord-Kivu;Walikale;;160;0. <1K;UL_Mpeti_NKV;27322,2;>5km;No
Part2_23453_NewSite_16_587_800008;2.976726;19.744767;Sud-Ubangi;Gemena;;2984;1. 1K~3K;EQ_05_080_C0;27326,3;>5km;No
Part1_23453_NewSite_16_799_800001;-7.237348;28.940199;Tanganyka;Moba;;1137;1. 1K~3K;UL_Kakera_HKT;27330,9;>5km;No
Part1_23453_NewSite_12_764_600003;-10.412097;22.742022;Lualaba;Dilolo;;1503;1. 1K~3K;KT_07_314_C0;27339,3;>5km;No
Part1_23453_NewSite_14_607_700004;-2.120381;18.453164;Mai-Ndombe;Inongo;;659;0. <1K;Inongo_BDD;27342,2;>5km;No
Part1_23453_NewSite_11_347_550929;-5.650203;25.535766;Lomami;Lubao;;206;0. <1K;KE_05_529_C0;27343,2;>5km;No
Part2_23453_NewSite_19_763_950001;-1.100725;22.40115;Tshuapa;Bokungu;;3252;2. 3K~5K;UL_Yalifafu_EQT;27346,1;>5km;No
Part2_23453_NewSite_19_734_950008;-0.832153;22.249189;Tshuapa;Bokungu;;499;0. <1K;Bokungu_EQT;27357,4;>5km;No
Part2_23453_NewSite_14_721_700687;-3.621374;23.30006;Sankuru;Lodja;;1122;1. 1K~3K;KE_05_19605_C0;27372,3;>5km;No
Part2_23453_NewSite_1_682_50774;3.601551;24.873449;Bas-Uele;Bondo;Nord;93;0. <1K;UL_Liguga_POR;27385,3;>5km;No
Part1_23453_NewSite_14_657_700866;-2.48028;17.060557;Mai-Ndombe;Mushie;;2017;1. 1K~3K;BD_05_655_C0;27392,0;>5km;No
Part1_23453_NewSite_7_764_350003;-6.267355;17.304987;Kwango;Kasongo-Lunda;;7132;3. 5K~10K;BD_03_1524_C0;27393,4;>5km;Yes
Part1_23453_NewSite_9_192_450149;-4.625392;15.89111;Kinshasa;Maluku;;221;0. <1K;UL_Mpuku_Nsele_KIN;27395,7;>5km;No
Part1_23453_NewSite_16_116_801174;-5.356839;26.449818;Tanganyka;Kongolo;;139;0. <1K;UL_Bena_Hamba_HKT;27396,6;>5km;No
Part1_23453_NewSite_3_301_150982;-8.140235;29.573582;Haut-Katanga;Pweto;;633;0. <1K;UL_Kapulo_Pweto_HKT;27401,6;>5km;No
Part2_23453_NewSite_18_235_900869;1.908585;25.455367;Tshopo;Banalia;;535;0. <1K;UL_Bongonza_POR;27413,1;>5km;No
Part2_23453_NewSite_9_934_450666;-4.511485;25.901534;Maniema;Kibombo;;453;0. <1K;KV_07_794_C0;27423,9;>5km;No
Part2_23453_NewSite_1_722_50009;3.427599;26.627553;Bas-Uele;Poko;Nord;118;0. <1K;UL_Amadi_POR;27425,4;>5km;No
